COUNT,X,Y,Zebra,Wildebeest,Elephant,Buffalo,Shoats,Cattle,Giraffe,Grant's Gazelles,Thomson's gazelles
1/2/1978,36.84141,-2.55344,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0
1/2/1978,36.84148,-2.50823,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,2.2
1/2/1978,36.84156,-2.46302,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.9,0.0
1/2/1978,36.84163,-2.41781,0.0,0.0,0.0,0.0,90.7,8.6,0.0,0.0,0.0
1/2/1978,36.88636,-2.55351,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,36.88643,-2.50831,0.0,0.0,0.0,0.0,175.7,35.7,0.0,0.0,0.0
1/2/1978,36.8865,-2.4631,0.0,0.0,0.0,0.0,30.0,0.0,0.0,3.6,0.0
1/2/1978,36.9313,-2.55359,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1/2/1978,36.97625,-2.55366,0.0,0.0,0.0,0.0,12.9,20.0,0.0,0.0,0.0
1/2/1978,37.02106,-2.64416,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,27.1
1/2/1978,37.0212,-2.55373,5.0,2.2,0.0,0.0,0.0,5.7,0.0,6.4,0.0
1/2/1978,37.02127,-2.50851,5.7,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
1/2/1978,37.0214,-2.41809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0
1/2/1978,37.02153,-2.32766,0.0,0.0,0.0,0.0,0.0,37.8,0.0,0.0,0.0
1/2/1978,37.06595,-2.68944,0.0,0.7,0.0,0.0,0.0,0.0,4.3,3.6,0.0
1/2/1978,37.06616,-2.5538,0.7,3.6,0.0,0.0,0.0,0.0,0.0,7.8,3.6
1/2/1978,37.06629,-2.46337,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.06635,-2.41815,5.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.06641,-2.37294,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.2,0.0
1/2/1978,37.06648,-2.32772,0.0,0.0,0.0,0.0,133.6,0.0,0.0,5.0,0.0
1/2/1978,37.06654,-2.28251,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0
1/2/1978,37.11098,-2.64429,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.11111,-2.55386,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,7.1
1/2/1978,37.11117,-2.50865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.3
1/2/1978,37.1113,-2.41821,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.2,0.0
1/2/1978,37.11136,-2.373,0.0,7.1,0.0,0.0,0.0,0.0,5.7,0.0,0.0
